IDX,score
1,31.7512
2,364.9
3,184.4553
4,363.95
5,186.7
8,362.8
9,361.9
10,96.5742
11,109.3968
12,190.9689
13,361.9
16,361.3
19,362.2053
20,361.15
21,373.9878
22,364.4606
23,187.3106
24,361.9
25,184.4553
26,191.6325
28,425.51
32,363.85
33,281.4106
34,363.85
35,364.45
36,364.7553
37,364.45
38,9.7696
39,364.45
40,371.9
41,364.45
42,94.7053
43,184.4553
44,277.35
45,184
46,361.75
47,365.2053
48,364.7659
49,285.3795
50,364.45
51,184.4553
52,184.4553
53,361.3
54,361.9
55,361.9
56,365.0606
57,363.85
58,187.9689
59,365.0606
60,185.0553
61,364.1553
62,364.45
63,364.7659
64,362.2
65,365.7189
66,365.3659
67,362.5053
68,285.1219
69,361.9
70,371.3
71,381.156
72,369.6878
73,456.8
74,371.3
75,190.8348
76,284.7689
77,377.7977
78,378.7136
79,185.95
80,255.3606
81,362.2053
82,361.75
83,471.996
84,188.2318
85,364.45
86,364.9
87,187.0265
88,247.55
89,363.85
90,280.8
91,377.7977
92,361.3
93,254.5553
94,271.5977
95,362.35
96,363.1053
97,364.9371
98,271.8553
99,364.4606
100,364.45
101,364.4606
102,364.45
103,352.0106
104,184.4553
105,184.4553
106,350.0659
107,281.1053
108,364.4606
109,194.0325
110,361.3
111,361.9
112,363.95
113,361.9
114,371.9
115,371.9
116,380.165
117,279.6
118,364.4818
119,274.956
120,290.5696
121,284.1583
122,282.0212
123,362.0659
124,362.0659
125,362.0659
126,362.0659
127,362.0659
128,362.0659
129,362.0659
130,362.0659
131,362.0659
132,362.0659
133,362.0659
134,362.0659
135,269.3053
136,248.15
137,364.9
138,95.3265
139,363.85
140,365.0606
141,361.9
142,362.8
143,178.7606
144,342.05
145,364.45
146,286.6007
147,185.2106
148,361.9
149,362.35
150,370.3954
151,364.45
153,186.4424
154,362.5212
155,285.3362
156,362.65
157,361.3
158,343.15
159,270.0712
160,361.9
161,93.2053
162,256.25
163,364.9
164,367.953
165,102.9961
166,93.5212
167,363.4212
168,362.8106
169,362.5053
170,362.8106
171,363.7265
172,95.3159
173,271.8553
174,365.35
175,362.9712
176,362.9712
177,361.9
178,194.306
179,184.7606
180,362.8
181,362.8
182,364.4606
183,363.7
184,363.7
185,364.45
186,361.9
187,362.65
188,373.4961
189,271.5977
190,364.7553
191,361.75
192,186.1265
193,364.9
194,362.3606
195,364.0318
196,362.9818
197,363.5659
198,362.8
199,270.0712
200,270.0712
201,185.2212
202,361.9
203,361.9
204,361.9
205,361.9
206,189.753
207,363.85
208,361.9
209,363.85
210,361.9
211,278.009
212,365.9765
213,364.45
214,361.75
215,361.9
216,361.9
217,184
218,367.8083
219,352.9106
220,361.9
221,184.4553
222,186.7477
223,187.9212
224,364.45
225,435
226,185.65
228,435.9159
229,362.8
230,185.756
231,361.9
232,349.3
233,269
234,185.9553
235,381.9256
236,367.3265
237,98.406
238,364.4606
239,362.0659
240,371.9
241,435
242,361.3
243,371.9
244,364.4606
245,363.85
246,272.8659
247,364.45
248,188.5371
249,270.6606
250,270.05
251,189.1424
252,188.2265
254,364.0318
255,361.4553
256,363.95
257,364.1553
258,271.55
259,371.9
260,366.2818
261,361.9
262,179.6871
263,179.3818
264,349.9106
265,349.3
266,349.3
267,349.3
268,349.3
269,349.3
270,364.45
271,187.6053
272,351.4
273,361.4553
274,371.3
275,363.2606
276,363.2606
277,365.35
278,248.15
279,273.0765
280,361.7
281,187.9689
282,361.9
283,186.7
284,379.0666
285,184.4553
286,273.0765
287,223.036
288,362.2
289,191.9378
290,361.9
291,270.9765
292,270.6712
293,278.25
294,274.603
295,361.9
296,362.2053
299,361.75
300,361.3
301,362.5106
302,362.2053
303,362.35
304,188.253
305,94.7424
306,364.1553
307,365.35
308,342.55
309,185.0553
310,361.7
311,362.8
313,345.8113
314,187.5083
315,371.9
316,362.2
317,185.2212
318,185.5265
319,281.1053
320,365.35
321,341.95
322,255.0553
323,94.7053
324,363.85
325,364.4606
326,365.0606
327,364.15
328,351.85
329,362.8
330,92.1553
331,449.6553
332,363.85
333,364.45
334,364.45
335,364.45
336,365.8159
337,364.15
338,364.15
339,364.75
340,351.85
341,287.5166
342,92.1553
343,362.35
344,257.3
345,374.45
346,352.6212
347,364.45
348,270.0712
349,364.45
350,163.5106
351,255.2106
352,361.9
353,361.9
354,364.4606
355,364.9
356,361.9
357,361.9
358,368.7348
359,365.9871
360,367.2083
361,435
362,364.45
363,365.3659
364,271.55
365,364.45
366,365.2053
367,366.2659
368,363.85
369,362.2
370,369.2219
371,362.6659
372,361.75
373,361.9
374,368.5636
375,364.45
376,187.6053
377,362.2
378,284.7689
379,364.803
380,364.803
381,191.6325
382,365.6818
383,178.15
384,364.1553
385,364.45
386,186.4159
387,363.95
388,371.9
389,371.9
390,365.6553
391,92.7659
392,361.7
393,361.3
394,361.9
395,362.2053
396,187.0053
397,465.1401
398,270.95
399,371.3
400,364.45
401,361.9
402,371.9
403,371.9
404,371.9
405,371.9
406,371.9
407,371.9
408,371.9
409,371.9
410,371.9
411,364.1553
412,188.2
413,188.8053
414,248.15
415,367.8189
416,348.7
417,362.35
418,361.9
419,361.9
420,274.956
421,188.5053
422,362.5159
423,273.0765
424,188.5053
425,270.05
426,270.3553
427,361.9
428,361.9
429,361.9
430,364.45
431,188.2
432,364.45
433,189.1159
434,280.05
435,366.2924
436,361.9
437,349.9212
438,280.05
439,371.9
441,361.9
442,187.6371
443,185.2106
444,363.85
445,363.85
446,363.85
447,184.4553
448,362.8
449,187.3
450,361.9
451,364.9
452,282.4212
453,188.2
454,343.15
455,187.3
456,362.8
457,364.9
458,363.85
459,285.203
460,124.3565
461,188.2
462,342.2553
463,351.7053
464,185.3606
467,94.4
468,91.85
469,363.85
470,364.45
471,376.003
472,185.0553
475,188.2159
476,272.1606
477,371.9
478,371.4
479,371.9
480,361.25
482,284.8871
483,95.0477
484,186.4424
485,186.7477
486,361.9
487,361.9
488,361.9
489,361.9
490,361.9
491,187.3
492,364.9
493,364.45
494,364.45
495,364.5083
496,362.9818
497,279.6265
498,363.85
499,364.45
500,271.8553
501,365.5106
503,365.6553
504,364.7659
505,189.1159
506,436.9659
507,273.7136
508,361.3
509,353.2318
510,361.9
511,361.9
512,285.5136
513,362.2
514,362.2
515,362.2
516,270.1659
517,192.5378
518,185.5265
519,189.8007
520,185.65
521,451.103
523,363.5659
524,518.0575
543,187.3106
544,362.65
545,184.9159
546,189.8007
554,361.9
555,361.9
556,361.9
557,269
558,361.9
559,361.9
560,361.9
561,361.9
562,361.3
563,361.9
564,364.7659
565,337.9372
566,272.9083
567,361.9
568,362.2159
569,372.35
570,285.2295
571,189.1636
572,449.1
573,365.35
574,189.1424
576,363.85
577,374.45
578,367.0371
579,361.9
580,189.1424
582,364.45
583,361.9
584,189.4212
586,189.4212
587,370.1537
588,364.45
589,188.5053
590,188.5053
591,361.15
592,363.85
593,371.9
594,364.45
595,365.6553
596,364.45
597,367.8189
598,362.0553
599,281.7053
600,92.9106
601,187.9
602,363.6
603,269.5
604,365.3659
605,281.4106
606,371.9
607,364.4606
608,363.85
609,364.45
610,190.0318
611,95.4871
612,188.2159
613,343.45
614,365.0606
615,269.7659
616,186.1106
617,104.1961
618,187.3
619,361.9
620,361.9
621,361.9
622,361.9
623,367.5136
